ep,stage,done_reason,action_repeat,hits,crash,return,steps,avg_steps_per_hit,med_steps_per_hit,epsilon,alpha,q_mean,q_std,q_min,q_max,r_hit,r_progress,progress_steps,r_step,r_near_boundary,r_oob,r_stagnate,mean_return_per_step,vx_bin_counts,vy_bin_counts,theta_bin_counts,omega_bin_counts,near_vx_bin_counts,near_vy_bin_counts,near_theta_bin_counts,near_omega_bin_counts,vx_abs_p90,vy_abs_p90,theta_abs_p90,omega_abs_p90,near_omega_abs_p90
510,0,crash,1,0,1,-148.9352344931007,1990,,,0.7748670821368779,0.1,0.0019882265478372574,2.6376521587371826,-42.921722412109375,231.54971313476562,0.0,9.764990781095147,762,-3.9799999999997833,-74.72022527419598,-80.0,0.0,-0.07484182637844256,{1: 199},{1: 199},{1: 199},{1: 199},{1: 58},{1: 58},{1: 58},{1: 58},0.03339982041225045,0.03727793733660908,0.04335678654242408,0.04266742056162706,0.050624902025098076
520,0,max_steps,1,1,0,478.45614045122215,2500,1200.0,1200.0,0.7710014523680259,0.1,0.0033834746573120356,2.7340877056121826,-42.921722412109375,235.61570739746094,500.0,14.774466525878921,1282,-4.997999999999672,-31.320326074648637,0.0,0.0,0.19138245618048885,{1: 250},{1: 250},{1: 250},{1: 250},{1: 45},{1: 45},{1: 45},{1: 45},0.03527092342045031,0.03551003435921273,0.050230154343913015,0.05630640843327013,0.06831263137386585
530,0,max_steps,1,1,0,474.5823750075704,2500,1079.0,1079.0,0.7671551073176169,0.1,0.0034853320103138685,2.809018135070801,-44.26539611816406,241.76512145996094,500.0,8.523741929906944,1135,-4.997999999999672,-28.943366922327524,0.0,0.0,0.18983295000302816,{1: 250},{1: 250},{1: 250},{1: 250},{1: 38},{1: 38},{1: 38},{1: 38},0.018237082908155386,0.028812837000712046,0.02360962531344695,0.03225490952142198,0.03442722500874605
540,0,crash,1,0,1,-156.9033942261965,1812,,,0.7633279507787228,0.1,0.00253886915743351,2.8122456073760986,-44.26539611816406,241.76512145996094,0.0,0.10381281940030906,91,-3.6239999999998225,-73.38320704559683,-80.0,0.0,-0.0865912771667751,{1: 181},{1: 181},{1: 181},{1: 181},{},{},{},{},0.020136425801801014,0.0577866254193226,0.02748103701543186,0.03401774163607542,
550,0,max_steps,1,0,0,-3.7722276699570663,2500,,,0.7595198870243695,0.1,0.002997125033289194,2.865513563156128,-45.58143615722656,244.75747680664062,0.0,1.2277723300427539,549,-4.999999999999671,0.0,0.0,0.0,-0.0015088910679828265,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.013058765770398348,0.019311897626206113,0.01645142724249787,0.02234113313016805,
560,0,max_steps,1,0,0,-0.2074362028988444,2500,,,0.7557308208051414,0.1,0.0044038016349077225,2.963702440261841,-42.49266052246094,251.68228149414062,0.0,5.065722007345426,547,-4.999999999999671,-0.27315821024449427,0.0,0.0,-8.297448115953776e-05,{1: 250},{1: 250},{1: 250},{1: 250},{1: 63},{1: 63},{1: 63},{1: 63},0.03578135282227926,0.03382398898185637,0.05306382514427134,0.07960523963467786,0.023508291704269556
570,0,max_steps,1,0,0,-4.039677506226896,2500,,,0.751960657346801,0.1,0.0031000101007521152,2.9705660343170166,-45.985923767089844,251.68228149414062,0.0,0.9603224937728083,282,-4.999999999999671,0.0,0.0,0.0,-0.0016158710024907585,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.0497806351704435,0.024616944772980993,0.053407456865454096,0.056844924852870155,
580,0,crash,1,0,1,-141.58521552999326,2461,,,0.748209302347916,0.1,0.0022798979189246893,2.896843671798706,-42.01626968383789,224.61099243164062,0.0,1.913275974039913,573,-4.92199999999968,-58.57649150403334,-80.0,0.0,-0.057531578841931434,{1: 246},{1: 246},{1: 246},{1: 246},{},{},{},{},0.04984570590274384,0.03324663653347578,0.0670522696868989,0.0640655305030643,
590,0,max_steps,1,0,0,8.162747006273879,2500,,,0.7444766619775032,0.1,0.0036029708571732044,2.947462320327759,-42.01626968383789,248.28944396972656,0.0,13.162747006273925,1103,-4.999999999999671,0.0,0.0,0.0,0.0032650988025095516,{1: 250},{1: 250},{1: 250},{1: 250},{},{},{},{},0.03989296529930388,0.03344456980943914,0.052781868117230006,0.04910159608075732,
600,0,crash,1,0,1,-166.61736257311753,1608,,,0.7407626428726788,0.1,0.0020196514669805765,2.9186055660247803,-46.779930114746094,224.77867126464844,0.0,0.3885231387305593,178,-3.2159999999998674,-83.78988571184816,-80.0,0.0,-0.10361776279422732,{1: 160},{1: 160},{1: 160},{1: 160},{},{},{},{},0.04494272140168314,0.06225239281871607,0.06279905912364815,0.05785758302577707,
